x_m,y_m,w_tr_left_m,w_tr_right_m
-1294.25068,-701.6991,4.797233,4.797233
-1297.980799,-704.8332,4.780859,4.780859
-1301.70991,-707.9686,4.766073,4.766073
-1305.426898,-711.0773,4.763956,4.763956
-1309.164779,-714.2023,4.76274,4.76274
-1312.904113,-717.3256,4.759251,4.759251
-1316.644131,-720.448,4.754693,4.754693
-1320.38415,-723.5705,4.750136,4.750136
-1324.124168,-726.693,4.745578,4.745578
-1327.864187,-729.8154,4.74102,4.74102
-1331.602526,-732.9399,4.739083,4.739083
-1335.35285,-736.089,4.733437,4.733437
-1339.080524,-739.2261,4.72235,4.72235
-1342.806909,-742.3648,4.713272,4.713272
-1346.529431,-745.5081,4.71022,4.71022
-1350.251952,-748.6514,4.707168,4.707168
-1353.974474,-751.7947,4.704115,4.704115
-1357.692435,-754.9432,4.707991,4.707991
-1361.384585,-758.1213,4.751083,4.751083
-1365.076735,-761.2994,4.794175,4.794175
-1368.71843,-764.5268,4.907583,4.907583
-1372.378681,-767.926,5.048639,5.048639
-1375.896811,-771.281,5.212403,5.212403
-1379.300875,-774.7259,5.519198,5.519198
-1383.202825,-778.8215,5.802675,5.802675
-1386.200977,-782.6492,5.982789,5.982789
-1389.371735,-787.4273,6.072687,6.072687
-1391.952328,-793.4487,6.262783,6.262783
-1393.12628,-799.252,6.231475,6.231475
-1393.357828,-805.368,6.182527,6.182527
-1392.480274,-811.0833,6.148911,6.148911
-1390.769217,-816.6204,5.99131,5.99131
-1387.777275,-821.9699,5.95673,5.95673
-1383.971892,-826.623,5.933991,5.933991
-1380.416678,-829.9144,6.007877,6.007877
-1374.648636,-833.691,6.045204,6.045204
-1369.209624,-835.8389,5.84676,5.84676
-1363.502686,-836.9817,5.642304,5.642304
-1357.814035,-837.1698,5.305602,5.305602
-1353.584054,-837.16,5.062871,5.062871
-1347.782845,-837.2377,5.334028,5.334028
-1342.94831,-836.6342,5.31969,5.31969
-1338.113775,-836.0307,5.305351,5.305351
-1333.27924,-835.4271,5.291012,5.291012
-1328.445953,-834.814,5.286359,5.286359
-1323.615759,-834.1771,5.305713,5.305713
-1318.785565,-833.5402,5.325068,5.325068
-1313.962652,-832.9049,5.345137,5.345137
-1309.13206,-832.2714,5.367878,5.367878
-1304.301449,-831.6379,5.390491,5.390491
-1299.470459,-831.0071,5.410444,5.410444
-1294.639469,-830.3763,5.430397,5.430397
-1289.808479,-829.7455,5.45035,5.45035
-1284.977488,-829.1147,5.470303,5.470303
-1279.837327,-827.8266,4.892373,4.892373
-1275.391153,-827.2516,4.889467,4.889467
-1270.557711,-826.6389,4.890826,4.890826
-1265.724269,-826.0261,4.892185,4.892185
-1260.890827,-825.4134,4.893544,4.893544
-1256.057386,-824.8007,4.894903,4.894903
-1251.182487,-824.1564,4.886158,4.886158
-1246.353253,-823.5117,4.87481,4.87481
-1241.524018,-822.8669,4.863462,4.863462
-1236.694784,-822.2222,4.852114,4.852114
-1231.865549,-821.5775,4.840766,4.840766
-1227.061333,-820.9453,4.832903,4.832903
-1222.229786,-820.3178,4.830794,4.830794
-1217.398239,-819.6904,4.828685,4.828685
-1212.566692,-819.0629,4.826575,4.826575
-1207.735145,-818.4354,4.824466,4.824466
-1202.904162,-817.8037,4.826691,4.826691
-1198.082646,-817.1714,4.831639,4.831639
-1193.251364,-816.5421,4.840794,4.840794
-1188.420082,-815.9127,4.849949,4.849949
-1183.588801,-815.2834,4.859103,4.859103
-1178.756613,-814.661,4.861331,4.861331
-1173.924053,-814.0414,4.86071,4.86071
-1169.091493,-813.4217,4.86009,4.86009
-1164.262511,-812.6356,5.00294,5.00294
-1159.481061,-811.7758,5.215889,5.215889
-1154.68578,-810.9801,5.363504,5.363504
-1149.85469,-810.3502,5.341949,5.341949
-1145.023599,-809.7204,5.320394,5.320394
-1140.192509,-809.0905,5.298839,5.298839
-1135.37927,-808.463,5.277315,5.277315
-1130.5696,-807.8507,5.279394,5.279394
-1125.736792,-807.2331,5.283933,5.283933
-1120.903985,-806.6155,5.288472,5.288472
-1116.071177,-805.9978,5.293011,5.293011
-1111.238458,-805.3795,5.298228,5.298228
-1106.405839,-804.7604,5.30422,5.30422
-1101.573221,-804.1414,5.310212,5.310212
-1096.746034,-803.5226,5.319898,5.319898
-1091.916047,-802.8853,5.349281,5.349281
-1087.08606,-802.2479,5.378663,5.378663
-1082.245422,-801.7872,5.231427,5.231427
-1077.40235,-801.367,5.043826,5.043826
-1072.640639,-800.974,4.911777,4.911777
-1067.798476,-800.4352,4.927013,4.927013
-1062.956313,-799.8964,4.942249,4.942249
-1058.11415,-799.3576,4.957485,4.957485
-1053.269976,-798.8421,4.949247,4.949247
-1048.420624,-798.3869,4.880554,4.880554
-1043.571271,-797.9318,4.811862,4.811862
-1039.018194,-797.6006,4.844437,4.844437
-1034.15391,-797.3463,4.884106,4.884106
-1029.286641,-797.1289,4.886684,4.886684
-1024.419372,-796.9116,4.889262,4.889262
-1019.552103,-796.6942,4.89184,4.89184
-1015.069238,-796.6795,4.889599,4.889599
-1010.199507,-796.8271,4.912083,4.912083
-1005.329777,-796.9746,4.934566,4.934566
-1000.460046,-797.1222,4.95705,4.95705
-995.592831,-797.3233,4.925925,4.925925
-990.726585,-797.5451,4.874148,4.874148
-986.110925,-797.7666,4.837396,4.837396
-981.258648,-798.2001,4.825669,4.825669
-976.407257,-798.647,4.800587,4.800587
-971.555866,-799.0939,4.775506,4.775506
-966.70553,-799.5471,4.743992,4.743992
-962.277129,-800.0973,4.598323,4.598323
